,year,league,team,squad_depth,avg_age,foreigners,avg_market_value,market_value,titles
144,2008,Bundesliga,Bayern Munich,29,26.7,14,€8.14m,€235.95m,"['German Cup winner  07/08', 'German Champion 07/08']"
145,2008,Bundesliga,Hamburger SV,38,25.6,26,€4.13m,€156.88m,[]
146,2008,Bundesliga,SV Werder Bremen,35,24.7,17,€4.27m,€149.45m,[]
147,2008,Bundesliga,VfL Wolfsburg,35,26.0,24,€3.95m,€138.33m,[]
148,2008,Bundesliga,Bayer 04 Leverkusen,31,25.6,15,€3.87m,€120.10m,[]
149,2008,Bundesliga,VfB Stuttgart,34,25.6,13,€3.50m,€119.05m,[]
150,2008,Bundesliga,FC Schalke 04,34,25.5,19,€3.47m,€118.05m,[]
151,2008,Bundesliga,Borussia Dortmund,39,25.9,21,€2.71m,€105.83m,[]
152,2008,Bundesliga,Hertha BSC,31,25.3,21,€2.84m,€88.10m,[]
153,2008,Bundesliga,TSG 1899 Hoffenheim,34,24.2,14,€2.34m,€79.65m,[]
154,2008,Bundesliga,Hannover 96,35,26.6,17,€1.84m,€64.38m,[]
155,2008,Bundesliga,Eintracht Frankfurt,34,25.5,20,€1.86m,€63.40m,[]
156,2008,Bundesliga,1.FC Köln,32,26.8,20,€1.54m,€49.30m,[]
157,2008,Bundesliga,Borussia Mönchengladbach,36,26.9,18,€1.36m,€49.00m,['German 2. Bundesliga Champion 07/08']
158,2008,Bundesliga,VfL Bochum,34,27.8,17,€1.22m,€41.45m,[]
159,2008,Bundesliga,Karlsruher SC,27,27.3,10,€1.14m,€30.90m,[]
160,2008,Bundesliga,Arminia Bielefeld,30,27.0,13,€987k,€29.60m,[]
161,2008,Bundesliga,FC Energie Cottbus,35,28.0,22,€844k,€29.53m,[]
162,2009,Bundesliga,Bayern Munich,29,26.6,15,€9.64m,€279.55m,[]
163,2009,Bundesliga,VfL Wolfsburg,31,26.3,19,€5.01m,€155.43m,['German Champion 08/09']
164,2009,Bundesliga,SV Werder Bremen,38,24.9,17,€3.79m,€143.95m,['German Cup winner  08/09']
165,2009,Bundesliga,Hamburger SV,35,25.4,19,€3.89m,€136.28m,[]
166,2009,Bundesliga,FC Schalke 04,40,24.8,23,€3.36m,€134.55m,[]
167,2009,Bundesliga,Bayer 04 Leverkusen,30,24.9,14,€4.43m,€132.90m,[]
168,2009,Bundesliga,VfB Stuttgart,34,25.7,14,€3.67m,€124.65m,[]
169,2009,Bundesliga,Borussia Dortmund,34,24.5,13,€3.22m,€109.40m,[]
170,2009,Bundesliga,TSG 1899 Hoffenheim,33,23.8,16,€2.95m,€97.50m,[]
171,2009,Bundesliga,Hertha BSC,33,25.6,21,€1.88m,€61.98m,[]
172,2009,Bundesliga,Eintracht Frankfurt,36,26.1,20,€1.64m,€59.20m,[]
173,2009,Bundesliga,1.FC Köln,33,25.3,18,€1.79m,€59.13m,[]
174,2009,Bundesliga,Borussia Mönchengladbach,30,26.0,15,€1.83m,€55.00m,[]
175,2009,Bundesliga,Hannover 96,39,26.6,22,€1.30m,€50.88m,[]
176,2009,Bundesliga,1.FSV Mainz 05,41,26.5,22,€1.19m,€48.78m,[]
177,2009,Bundesliga,1.FC Nuremberg,33,25.3,16,€1.44m,€47.50m,[]
178,2009,Bundesliga,VfL Bochum,32,27.1,16,€1.25m,€39.90m,[]
179,2009,Bundesliga,SC Freiburg,32,25.3,20,€1.23m,€39.45m,['German 2. Bundesliga Champion 08/09']
180,2010,Bundesliga,Bayern Munich,31,26.2,17,€9.97m,€308.98m,"['German Champion 09/10', 'German Cup winner  09/10']"
181,2010,Bundesliga,Borussia Dortmund,31,25.2,15,€5.48m,€169.95m,[]
182,2010,Bundesliga,FC Schalke 04,36,25.7,23,€4.37m,€157.18m,[]
183,2010,Bundesliga,SV Werder Bremen,38,25.5,18,€3.98m,€151.13m,[]
184,2010,Bundesliga,Bayer 04 Leverkusen,30,25.6,12,€4.92m,€147.68m,[]
185,2010,Bundesliga,VfL Wolfsburg,34,26.2,25,€4.27m,€145.10m,[]
186,2010,Bundesliga,TSG 1899 Hoffenheim,34,24.3,19,€3.71m,€126.13m,[]
187,2010,Bundesliga,Hamburger SV,30,26.4,20,€3.74m,€112.13m,[]
188,2010,Bundesliga,VfB Stuttgart,33,25.8,17,€3.19m,€105.25m,[]
189,2010,Bundesliga,1.FC Köln,38,25.7,19,€1.82m,€69.28m,[]
190,2010,Bundesliga,Borussia Mönchengladbach,34,26.3,19,€1.96m,€66.55m,[]
191,2010,Bundesliga,Hannover 96,28,26.5,14,€2.33m,€65.35m,[]
192,2010,Bundesliga,1.FSV Mainz 05,28,27.4,15,€2.16m,€60.60m,[]
193,2010,Bundesliga,1.FC Nuremberg,32,25.0,14,€1.88m,€60.20m,[]
194,2010,Bundesliga,SC Freiburg,32,25.7,19,€1.87m,€59.95m,[]
195,2010,Bundesliga,1.FC Kaiserslautern,30,25.4,18,€1.68m,€50.50m,['German 2. Bundesliga Champion 09/10']
196,2010,Bundesliga,Eintracht Frankfurt,31,25.7,15,€1.53m,€47.58m,[]
197,2010,Bundesliga,FC St. Pauli,30,27.3,2,€1.02m,€30.50m,[]
198,2011,Bundesliga,Bayern Munich,25,26.3,11,€14.24m,€356.00m,[]
199,2011,Bundesliga,Borussia Dortmund,30,25.1,13,€7.20m,€215.95m,['German Champion 10/11']
200,2011,Bundesliga,FC Schalke 04,39,25.2,21,€3.98m,€155.23m,['German Cup winner  10/11']
201,2011,Bundesliga,Bayer 04 Leverkusen,30,24.6,9,€4.50m,€134.85m,[]
202,2011,Bundesliga,VfL Wolfsburg,45,26.4,29,€2.80m,€125.80m,[]
203,2011,Bundesliga,VfB Stuttgart,32,25.8,18,€3.69m,€118.00m,[]
204,2011,Bundesliga,SV Werder Bremen,38,24.7,17,€2.95m,€111.95m,[]
205,2011,Bundesliga,TSG 1899 Hoffenheim,35,24.5,20,€2.53m,€88.65m,[]
206,2011,Bundesliga,Borussia Mönchengladbach,28,24.7,15,€3.15m,€88.30m,[]
207,2011,Bundesliga,Hamburger SV,37,24.5,23,€2.32m,€85.90m,[]
208,2011,Bundesliga,Hannover 96,31,26.2,17,€2.48m,€76.80m,[]
209,2011,Bundesliga,SC Freiburg,37,25.4,17,€1.88m,€69.43m,[]
210,2011,Bundesliga,1.FC Köln,34,25.1,17,€1.77m,€60.18m,[]
211,2011,Bundesliga,1.FC Nuremberg,30,24.7,12,€1.74m,€52.10m,[]
212,2011,Bundesliga,1.FSV Mainz 05,30,26.2,18,€1.73m,€52.00m,[]
213,2011,Bundesliga,Hertha BSC,31,25.2,18,€1.47m,€45.60m,['German 2. Bundesliga Champion 10/11']
214,2011,Bundesliga,1.FC Kaiserslautern,37,24.8,22,€1.15m,€42.60m,[]
215,2011,Bundesliga,FC Augsburg,32,26.6,15,€1.20m,€38.35m,[]
216,2012,Bundesliga,Bayern Munich,29,25.8,13,€15.94m,€462.40m,[]
217,2012,Bundesliga,Borussia Dortmund,31,24.7,10,€9.75m,€302.30m,"['German Champion 11/12', 'German Cup winner  11/12']"
218,2012,Bundesliga,FC Schalke 04,34,25.3,22,€5.40m,€183.55m,[]
219,2012,Bundesliga,Bayer 04 Leverkusen,33,24.1,11,€4.71m,€155.30m,[]
220,2012,Bundesliga,VfL Wolfsburg,36,26.4,26,€3.03m,€109.00m,[]
221,2012,Bundesliga,Hamburger SV,30,25.6,18,€3.50m,€104.95m,[]
222,2012,Bundesliga,VfB Stuttgart,34,25.8,19,€2.74m,€93.13m,[]
223,2012,Bundesliga,Borussia Mönchengladbach,29,24.7,14,€3.01m,€87.33m,[]
224,2012,Bundesliga,Hannover 96,35,26.0,20,€2.38m,€83.15m,[]
225,2012,Bundesliga,TSG 1899 Hoffenheim,43,24.1,24,€1.82m,€78.25m,[]
226,2012,Bundesliga,SV Werder Bremen,32,23.9,15,€2.44m,€78.00m,[]
227,2012,Bundesliga,Eintracht Frankfurt,31,26.0,13,€2.21m,€68.40m,[]
228,2012,Bundesliga,SC Freiburg,32,24.5,15,€2.06m,€65.80m,[]
229,2012,Bundesliga,1.FSV Mainz 05,32,26.9,18,€1.64m,€52.43m,[]
230,2012,Bundesliga,1.FC Nuremberg,32,24.6,14,€1.46m,€46.83m,[]
231,2012,Bundesliga,FC Augsburg,33,26.7,18,€1.17m,€38.45m,[]
232,2012,Bundesliga,SpVgg Greuther Fürth,37,25.3,18,€901k,€33.33m,['German 2. Bundesliga Champion 11/12']
233,2012,Bundesliga,Fortuna Düsseldorf,35,26.2,20,€890k,€31.15m,[]
234,2013,Bundesliga,Bayern Munich,33,25.2,16,€16.88m,€556.88m,"['German Champion 12/13', 'Champions League Winner 12/13', 'German Cup winner  12/13']"
235,2013,Bundesliga,Borussia Dortmund,31,25.2,12,€10.52m,€326.05m,[]
236,2013,Bundesliga,FC Schalke 04,38,25.0,18,€5.35m,€203.25m,[]
